Nº;Descripción;Tipo
20000057;SUTURA ETHILON;Servicio
20004092;IMPRESION CD/PLACA ADICIONAL IMAGEN;Servicio
220007839;PUNCH DESCARTABLE;Servicio
23000692;LUNAS ANTIREFLEJO + ANTIFOG;Servicio
50000060;GUATA SOF-ROL 6X4 UD;Servicio
50000061;GUATA SOF-ROL 4*4 UD;Servicio
50001612;STERISTRIP 1/4*4;Servicio
50001616;CINTA FIBRA VIDRIO 4;Servicio
50002253;GUANTE QUIRURG 6.5 MAXITEX;Servicio
50002254;c GUANTE QUIRURG 7.0 MAXITEX;Servicio
50002415;c BISTURI #11;Servicio
50002418;c BISTURI #15;Servicio
50002745;GASA POR UNIDAD;Servicio
50002767;VENDA GASA ELAST 4 SOF;Servicio
50003210;JERINGA 3cc NIPRO;Servicio
50003217;c EQUIPO VENOCLISIS 200cm;Servicio
50003496;VENDA YESO CELLONA 10*2.7*4;Servicio
50003990;VENDA DE GASA;Servicio
50003991;APOSITO TEGADERM;Servicio
50004012;AQUACEL AG + EXTRA 10 * 10 CM;Servicio
50004022;MOLLELAST HAFT ROJO 10CM * 20CM;Servicio
51001616;CINTA FIBRA VIDRIO;Servicio
53000975;TIRILLA ACCU CHECK;Servicio
53000976;"C. VENDA YESO CELLONA 20 *2, 7*8""";Servicio
53000989;XYLOCAINA 2 % S/E X CC;Servicio
53000991;FERULA ALUMINIO POR DEDO 3/4;Servicio
53000992;FRASCOS S.S. 0.9% 100 ML;Servicio
53000993;FRASCO DE D/A 5% 500 ML;Servicio
53000996;TANQUE DE OXIGENO+TRANSPORTE;Servicio
53000997;FRASCOS S.S. 0.9% 500 ML;Servicio
53000998;FERULA DE NARIZ;Servicio
54000000;SUPRASORB F - ROLLO NO ESTÉRIL 15CM X 10M;Servicio
54000001;SUPRASORB C - APÓSITO DE COLÁGENO NATIVO 8X12CM;Servicio
54000002;PRONTOSAN SOLUCION 1000 ML;Servicio
54000003;AQUACELL SURGICAL AG SCD DRS 9X15 CM;Servicio
54000004;VENDA TUBULAR ELASTICA 15CM X 25M;Servicio
54000005;AQUACEL EXTRA PLATA 15 X 15;Servicio
54000006;SAF_GEL X 30 Z (85 GR);Servicio
54000007;SUPRASORB A + AG - APÓSITO  10X20CM;Servicio
54000008;SUPRASORB C - APÓSITO DE COLÁGENO NATIVO 6 X 8CM;Servicio
54000009;VENDA TUBULAR ELASTICA 10CM X25M;Servicio
54000010;SUPRASORB X PHMB MECHA 2X21 CM;Servicio
54000011;VENDA TUBULAR ELASTICA 8CM X 25M;Servicio
54000012;AQUACEL AG +  EXTRA 10 X 10 CM;Servicio
54000013;POLVOS STOMAHESIVE FRASCO X 28 GR;Servicio
54000014;DEBRISOFT 10X10 CM;Servicio
54000015;BARRERA LISA STOMAHESIVE 20 X 20;Servicio
54000016;GEL DUODERM TUBO 30 GR;Servicio
54000017;PRONTOSAN SOLUTION ROUND BO.¿LATAM¿ 350 ML;Servicio
54000018;ASKINA HEEL;Servicio
54000019;VARICEX VENDAJE 10CM X 10M;Servicio
54000020;PASTA STOMAHESIVE TUBO X 56 GR;Servicio
54000021;SUPRASORB X PHMB 9X9 CM;Servicio
54000022;MOLLELAST HAFT ROJO 10CM X 20M;Servicio
54000023;SUPRASORB A + AG - APÓSITO  10 X 10CM;Servicio
54000024;VLIWAKTIV+AG  APÓSITO GRUESO 10 X 10CM;Servicio
54000025;LINOVERA 30 ML;Servicio
54000026;ROSIDAL K VENDA DE COMPRESIÓN FUERTE 12CM X 5M;Servicio
54000027;SUPRASORB H - APÓSITO HIDROCOLOIDE - ESTÉRIL 20 X 20CM;Servicio
54000028;SUPRASORB C - APÓSITO DE COLÁGENO NATIVO 4 X 6CM;Servicio
54000029;DUODERM CGF 15 X 15 CM;Servicio
54000030;AQUACEL AG EXTRA 5 X 5 CM;Servicio
54000031;ASKINA FILM BARRIER FRASCO 28 ML;Servicio
54000032;BARRERA MOLDEABLE PLANA DE 70 MM;Servicio
54000033;BARRERA MOLDEABLE PLANA 57 MM;Servicio
54000034;ROSIDAL K VENDA DE COMPRESIÓN FUERTE 10CM X 5M;Servicio
54000035;VLIWAKTIV+AG APÓSITO DELGADO 10 X 10CM;Servicio
54000036;ESTEEM PLUS 20/30 MM TRANSPARENTE;Servicio
54000037;ESTEEM PLUS 30/40 MM TRANSPARENTE;Servicio
54000038;AQUACEL FOAM AG N / ADH 10X10 CM;Servicio
54000039;SUPRASORB H - APÓSITO HIDROCOLOIDE - ESTÉRIL 15 X 15CM;Servicio
54000041;FOAM LITE ADH 5.5 X 12;Servicio
54000042;GEL DUODERM TUBO 15 GR;Servicio
54000043;FOAM LITE ADH 10 X 10;Servicio
54000044;NATURA BARRERA 57 MM MOLDEABLE;Servicio
54000045;NATURA BARRERA 70 MM MOLDEABLE;Servicio
54000046;ROSIDAL K VENDA DE COMPRESIÓN FUERTE 8CM X 5M;Servicio
54000047;BARRERA FLEXIBLE SURFIT 45 MM;Servicio
54000048;BARRERA FLEXIBLE SURFIT 57 MM;Servicio
54000049;BARRERA FLEXIBLE SURFIT 70 MM;Servicio
54000050;SUPRASORB X PHMB 5X5 CM;Servicio
54000051;DUODERM CGF 10 X 10 CM;Servicio
54000052;FOAM LITE ADH 8 X 8;Servicio
54000053;SENSI CARE ADH REMOVEDOR SPR 50 ML;Servicio
54000054;SENSI CARE SKIN BARRIER 28 ML;Servicio
54000055;ROSIDAL K VENDA DE COMPRESIÓN FUERTE 6CM X 5M;Servicio
54000056;ASKINA CALGITROL AG 10X10;Servicio
54000057;DUODERM ET 10 X10 CM;Servicio
54000058;NATURA FUNDA 70 MM OPAQUE;Servicio
54000059;NATURA FUNDA 57 MM OPAQUE;Servicio
54000060;SUPRASORB A + AG - APÓSITO   5X5CM;Servicio
54000061;SUPRASORB H - APÓSITO HIDROCOLOIDE - ESTÉRIL 10X 10CM;Servicio
54000062;DUODERM ET 5 X10 CM;Servicio
54000063;ASKINA FOAM 10O. 10;Servicio
54000064;MOLLELAST HAFT BLANCO 12CM X 4M;Servicio
54000065;BOLSAS SURFIT ADULTOS 45 MM;Servicio
54000066;BOLSAS SURFIT ADULTOS 57 MM;Servicio
54000067;BOLSAS SURFIT ADULTOS 70 MM;Servicio
54000068;MOLLELAST HAFT BLANCO 8CM X 4M;Servicio
54000069;MOLLELAST HAFT BLANCO 4CM X  4M;Servicio
54000070;"VENDA DE GUATA 8"" 20CM X3M";Servicio
54000071;"VENDA DE GUATA 6"" 15CMX 3M";Servicio
54000072;"VENDA DE GUATA DE 4"" 10CM X 3M";Servicio
54000073;LOMATUELL 10X10CM;Servicio
54000074;PINZA CURVA PARA BOLSA DE OSTOMIA;Servicio
54000075;DIAMONS BOLSITAS GELIFICANTES;Servicio
